Variant SKU,Variant Title,Product Title,Product Handle,Product Collection Id,Product Type Id,Product Tag 1,Variant Price EUR,Product Tag 3,Product Tag 2,Product Weight,Product Status,Product Discountable,Variant Manage Inventory,Variant Allow Backorder,Product Thumbnail
3274590121217,Default,CHARN CARRE 60X60 AC ZG X2,charn-carre-60x60-ac-zg-x2,BRICOLAGE,QUINCAILLERIE,NORAIL,2.69,5,G7,90,published,TRUE,TRUE,FALSE,
3308083080047,Default,RODICLAC : GLU CONTRE LES RONGEURS ET INSECTES RAMPANTS. - TUBE DE 135 G EN ETU,rodiclac-glu-contre-les-rongeurs-et-insectes-rampants-tube-de-135-g-en-etu,ANTI NUISIBLES,PIEGE,PROTECTA 2020,2.75,12,E2,170,published,TRUE,TRUE,FALSE,
3438617892980,Default,COLLIER PLASTIQUE SPECIAL ARBRES L 45,collier-plastique-special-arbres-l-45,JARDIN,ACCESSOIRES,LEDUC LUBOT JANNY,2.80,11,H1,80,published,TRUE,TRUE,FALSE,
5021689019300,Default,BIBERON RONGEUR CLASSIC 600ML,biberon-rongeur-classic-600ml,BASSE COURS,ACCESSOIRES,LOOS ALIMENTS,2.85,17,G2,50,published,TRUE,TRUE,FALSE,
8718426002837,Default,MANGEOIRE POUSSIN PLASTIQUE 30 CM,mangeoire-poussin-plastique-30-cm,BASSE COURS,ACCESSOIRES BASSE COUR,LA FERME DE BEAUMONT,2.90,6,G2,130,published,TRUE,TRUE,FALSE,
3549900024787,Default,LOT DE 36 GODET BIODEGRADABLES,lot-de-36-godet-biodegradables,JARDIN,SEMIS,LEDUC LUBOT,2.90,5,C2,110,published,TRUE,TRUE,FALSE,
3274590083676,Default,TARG CLASS AC NK 25,targ-class-ac-nk-25,BRICOLAGE,QUINCAILLERIE,NORAIL,2.95,1,G7,40,published,TRUE,TRUE,FALSE,
3086960203634,Default,COUPE D.27+SOUC+TRINGLE GRIS,coupe-d-27-souc-tringle-gris,JARDIN,POTERIE PLASTIQUE,BRICODEAL,2.95,2,B3,150,published,TRUE,TRUE,FALSE,
3549900024831,Default,GODETS DE CULTURE EN PLAQUE 30 POTS,godets-de-culture-en-plaque-30-pots,JARDIN,SEMIS,LEDUC LUBOT JANNY,2.95,14,C2,110,published,TRUE,TRUE,FALSE,
3154551580492,Default,PORTE EMB. STARB TX T10A30 X5,porte-emb-starb-tx-t10a30-x5,BRICOLAGE,QUINCAILLERIE,NORAIL 2020,2.98,3,G7,50,published,TRUE,TRUE,FALSE,
3549900017635,Default,ETIQUETTES H.30CM,etiquettes-h-30cm,JARDIN,ACCESSOIRES,LEDUC LUBOT JANNY,2.99,8,A5,60,published,TRUE,TRUE,FALSE,
2001001010058,Default,LAISSE BLEU 130,laisse-bleu-130,ANIMALERIE,LAISSE,DIVERS,3.00,11,G0,110,published,TRUE,TRUE,FALSE,
2001001010057,Default,LAISSE ROUGE 130,laisse-rouge-130,ANIMALERIE,LAISSE,DIVERS,3.00,20,G0,110,published,TRUE,TRUE,FALSE,
8718426003667,Default,MANGOIRE TREMIE PLAST 1KG,mangoire-tremie-plast-1kg,BASSE COURS,ACCESSOIRES BASSE COUR,LA FERME DE BEAUMONT,3.00,2,G3,120,published,TRUE,TRUE,FALSE,
3549900003218,Default,VOILE D HIVERNAGE EN 2 X 5M EN 30 GR,voile-d-hivernage-en-2-x-5m-en-30-gr,JARDIN,ACCESSOIRES,LEDUC LUBOT JANNY,3.00,7,C1,340,published,TRUE,TRUE,FALSE,
3600070987613,Default,RAC STOP UNIVERSEL,rac-stop-universel,JARDIN,ARROSAGE,BRICODEAL,3.00,9,H7,50,published,TRUE,TRUE,FALSE,
3086960203627,Default,COUPE D.27+SOUC+TRINGLE TAUPE,coupe-d-27-souc-tringle-taupe,JARDIN,POTERIE PLASTIQUE,BRICODEAL,3.00,2,B3,150,published,TRUE,TRUE,FALSE,
3580798751775,Default,PLATEAU JARIDINIERE GRIS 50CM,plateau-jaridiniere-gris-50cm,JARDIN,POTERIE PLASTIQUE,LEDUC LUBOT,3.00,4,A4,150,published,TRUE,TRUE,FALSE,
3666778001426,Default,TREFLE ROUGE INCARNAT,trefle-rouge-incarnat,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,3,G4,60,published,TRUE,TRUE,FALSE,
3666778014334,Default,IPOMEE GRANDPA OTT,ipomee-grandpa-ott,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,4,G4,30,published,TRUE,TRUE,FALSE,
3666778007961,Default,QUINOA ORO DE VALLE,quinoa-oro-de-valle,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,4,G4,30,published,TRUE,TRUE,FALSE,
3666778020502,Default,BASILIC AROMATTO,basilic-aromatto,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,5,G4,30,published,TRUE,TRUE,FALSE,
3666778005738,Default,TAGETTE  SPARKLER MARIGOLD,tagette-sparkler-marigold,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,3,G4,30,published,TRUE,TRUE,FALSE,
3666778005783,Default,TAGETE BURGUNDY BLISS,tagete-burgundy-bliss,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,4,G4,30,published,TRUE,TRUE,FALSE,
3666778027174,Default,TAGETE AFTERNOON LEMONADE,tagete-afternoon-lemonade,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,4,G4,30,published,TRUE,TRUE,FALSE,
3666778001532,Default,TOURNESOL A GRAINES NAIN JAUNE,tournesol-a-graines-nain-jaune,JARDIN,GRAINES FLORALES,KOKOPELLI,2.65,3,G4,30,published,TRUE,TRUE,FALSE,
3666778010008,Default,PHACELIE A FEILLES DE TANAISIE,phacelie-a-feilles-de-tanaisie,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,1,G4,60,published,TRUE,TRUE,FALSE,
3666778010022,Default,PERSIL SIMPLE,persil-simple,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,5,G4,30,published,TRUE,TRUE,FALSE,
3666778020304,Default,BASILIC NAPOLETANO,basilic-napoletano,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,3,G4,30,published,TRUE,TRUE,FALSE,
2001001010416,Default,CALENDULA SOUCI EN MELANGE,calendula-souci-en-melange,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,16,G4,60,published,TRUE,TRUE,FALSE,
3666778001518,Default,TOURNESOL A GRAINES ROSTOV,tournesol-a-graines-rostov,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,3,G4,30,published,TRUE,TRUE,FALSE,
3666778021523,Default,ANETH GREENSLEEVES,aneth-greensleeves,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,2,G4,30,published,TRUE,TRUE,FALSE,
3666778001648,Default,TOURNESOL A FLEURS SUPREME MIX,tournesol-a-fleurs-supreme-mix,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,3,G4,30,published,TRUE,TRUE,FALSE,
3666778001938,Default,"TOMATE-CERISE ""POIRE ROUGE""",tomate-cerise-poire-rouge,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,7,G4,30,published,TRUE,TRUE,FALSE,
3666778021998,Default,CIBOULETTE COMMUNE,ciboulette-commune,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,3,G4,30,published,TRUE,TRUE,FALSE,
3666778002027,Default,TOMATE-CERISE BARBANIAKA,tomate-cerise-barbaniaka,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,6,G4,30,published,TRUE,TRUE,FALSE,
3666778002157,Default,"TOMATE-CERISE ""PIENNOLO DEL VESUVIO""",tomate-cerise-piennolo-del-vesuvio,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,4,G4,30,published,TRUE,TRUE,FALSE,
3666778002409,Default,TOMATE-CERISE POIRE JAUNE,tomate-cerise-poire-jaune,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,2,G4,30,published,TRUE,TRUE,FALSE,
3666778002485,Default,TOMATE-CERISE FAHRENHEIT BLUES,tomate-cerise-fahrenheit-blues,JARDIN,GRAINES POTAGERES,KOKOPELLI,2.65,6,G4,30,published,TRUE,TRUE,FALSE,
